,km_driven,Chevrolet,Expensive,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
66,120000,False,False,False,False,False,True,False,False,False,False,False,False,650000,False,False,True,False,False,False,False
67,55000,False,False,False,False,True,False,False,False,False,False,False,False,540000,True,False,False,False,False,False,False
68,40000,False,False,False,False,False,False,False,True,False,False,False,False,630000,True,False,False,False,False,False,False
69,10000,False,False,False,False,False,False,True,False,False,False,False,False,448000,False,False,True,False,False,False,False
70,120000,False,False,False,False,False,True,False,False,False,False,False,False,500000,True,False,False,False,False,False,False
71,5000,False,False,False,False,False,True,False,False,False,False,False,False,745000,True,False,False,False,False,False,False
72,120000,False,False,False,False,False,False,True,False,False,False,False,False,1025000,True,False,False,False,False,False,False
73,155000,False,False,True,False,False,False,False,False,False,False,False,False,235000,False,False,True,False,True,False,False
74,60000,False,False,False,False,False,False,True,False,False,False,False,False,630000,True,False,False,False,False,False,False
75,100000,False,False,False,False,False,False,True,False,False,False,False,False,1700000,True,False,False,False,True,False,False
76,50000,False,False,False,False,False,True,False,False,False,False,False,False,450000,True,False,False,False,True,False,False
77,70000,False,False,False,False,False,False,True,False,False,False,False,False,450000,False,False,True,False,True,False,False
78,90000,False,False,False,False,True,False,False,False,False,False,False,False,50000,True,False,False,False,False,False,False
79,10000,False,False,False,False,True,False,False,False,False,False,False,False,450000,True,False,False,False,False,False,False
80,90000,False,False,True,False,False,False,False,False,False,False,False,False,1200000,True,False,False,False,False,False,False
81,97000,False,False,False,False,True,False,False,False,False,False,False,False,610000,True,False,False,False,False,False,False
82,73840,False,False,False,False,False,False,False,False,False,False,False,True,2500000,False,False,True,False,True,False,False
83,43000,False,False,False,False,True,False,False,False,False,False,False,False,484999,False,False,True,False,False,False,False
84,30000,False,False,True,False,False,False,False,False,False,False,False,False,275000,False,False,True,False,False,False,False
85,40000,False,False,False,False,False,True,False,False,False,False,False,False,315000,False,False,True,False,False,False,False
86,80000,False,False,False,False,True,False,False,False,False,False,False,False,275000,False,False,True,False,False,False,False
87,30000,False,False,False,False,False,False,True,False,False,False,False,False,475000,True,False,False,False,False,False,False
88,100000,False,False,False,False,False,True,False,False,False,False,False,False,290000,False,False,True,False,False,False,False
89,175000,False,False,False,False,False,False,True,False,False,False,False,False,280000,False,False,True,False,False,False,False
90,11000,False,False,False,False,False,False,False,False,False,True,False,False,225000,False,True,False,False,False,False,False
